,L.Max.X(OP),L.Max.X(MA),L.Max.X(Diff),L.Max.X(Error%),L.Max.Y(OP),L.Max.Y(MA),L.Max.Y(Diff),L.Max.Y(Error%),L.Max.Z(OP),L.Max.Z(MA),L.Max.Z(Diff),L.Max.Z(Error%),L.Max.3D(OP),L.Max.3D(MA),L.Max.3D(Diff),L.Max.3D(Error%),R.Max.X(OP),R.Max.X(MA),R.Max.X(Diff),R.Max.X(Error%),R.Max.Y(OP),R.Max.Y(MA),R.Max.Y(Diff),R.Max.Y(Error%),R.Max.Z(OP),R.Max.Z(MA),R.Max.Z(Diff),R.Max.Z(Error%),R.Max.3D(OP),R.Max.3D(MA),R.Max.3D(Diff),R.Max.3D(Error%)
P02,205.027,202.814,2.213,1.091,5.733,4.881,0.852,17.455,93.175,91.645,1.53,1.669,9.276,6.029,3.247,53.856,221.136,225.811,-4.675,2.07,19.112,24.96,-5.848,23.429,91.166,99.807,-8.641,8.658,30.539,37.301,-6.762,18.128
P03,210.674,214.58,-3.906,1.82,24.366,33.875,-9.509,28.071,101.882,94.336,7.546,7.999,31.42,39.499,-8.079,20.454,201.171,211.82,-10.649,5.027,22.606,30.704,-8.098,26.374,91.119,93.855,-2.736,2.915,22.655,33.073,-10.418,31.5
P04,210.722,216.464,-5.742,2.653,49.344,54.73,-5.386,9.841,120.353,124.487,-4.134,3.321,59.332,67.701,-8.369,12.362,206.754,203.895,2.859,1.402,6.101,10.234,-4.133,40.385,98.867,105.167,-6.3,5.99,13.25,19.63,-6.38,32.501
P05,206.043,204.524,1.519,0.743,10.056,14.223,-4.167,29.298,94.438,91.685,2.753,3.003,12.697,15.083,-2.386,15.819,209.405,212.99,-3.585,1.683,1.795,11.053,-9.258,83.76,95.664,94.345,1.319,1.398,11.181,17.618,-6.437,36.536
P07,201.88,203.317,-1.437,0.707,11.802,20.259,-8.457,41.744,96.865,96.991,-0.126,0.13,13.851,21.812,-7.961,36.498,201.522,209.106,-7.584,3.627,8.509,14.45,-5.941,41.114,94.444,97.76,-3.316,3.392,9.716,18.875,-9.159,48.525
P08,203.694,200.976,2.718,1.352,15.367,20.628,-5.261,25.504,96.664,96.141,0.523,0.544,17.218,21.602,-4.384,20.294,208.415,214.572,-6.157,2.869,2.829,9.579,-6.75,70.467,91.648,96.542,-4.894,5.069,9.105,18.779,-9.674,51.515
P09,206.164,209.884,-3.72,1.772,41.845,44.138,-2.293,5.195,124.483,124.917,-0.434,0.347,54.587,57.144,-2.557,4.475,208.232,203.203,5.029,2.475,6.526,12.153,-5.627,46.301,93.327,104.138,-10.811,10.381,11.037,18.973,-7.936,41.828
P10,202.937,205.164,-2.227,1.085,28.129,33.517,-5.388,16.075,116.794,119.231,-2.437,2.044,39.838,45.955,-6.117,13.311,207.067,214.71,-7.643,3.56,5.107,7.833,-2.726,34.801,90.904,100.009,-9.105,9.104,8.833,19.58,-10.747,54.888
P11,202.09,203.336,-1.246,0.613,9.542,25.565,-16.023,62.676,97.219,95.934,1.285,1.339,12.315,21.072,-8.757,41.558,203.565,207.92,-4.355,2.095,5.237,9.911,-4.674,47.16,90.696,99.263,-8.567,8.631,6.469,15.681,-9.212,58.746
P12,214.248,211.376,2.872,1.359,20.927,23.408,-2.481,10.599,107.976,111.708,-3.732,3.341,36.66,38.915,-2.255,5.795,220.772,224.517,-3.745,1.668,9.754,11.556,-1.802,15.594,95.12,97.379,-2.259,2.32,23.942,29.902,-5.96,19.932
P13,203.177,203.033,0.144,0.071,53.733,60.867,-7.134,11.721,135.884,140.598,-4.714,3.353,71.197,79.624,-8.427,10.583,202.138,201.539,0.599,0.297,8.135,12.622,-4.487,35.549,90.843,99.503,-8.66,8.703,8.505,15.734,-7.229,45.945
P14,202.991,202.448,0.543,0.268,29.795,40.702,-10.907,26.797,112.767,113.564,-0.797,0.702,38.513,47.636,-9.123,19.151,209.557,214.447,-4.89,2.28,5.718,14.253,-8.535,59.882,91.275,107.546,-16.271,15.129,11.409,26.903,-15.494,57.592
P15,211.86,212.001,-0.141,0.067,10.655,6.333,4.322,68.246,91.833,92.35,-0.517,0.56,16.068,13.774,2.294,16.655,209.325,218.017,-8.692,3.987,4.958,21.33,-16.372,76.756,94.515,91.011,3.504,3.85,11.522,27.939,-16.417,58.76
P16,204.652,209.399,-4.747,2.267,48.816,57.421,-8.605,14.986,130.34,132.018,-1.678,1.271,63.411,72.075,-8.664,12.021,214.946,221.295,-6.349,2.869,15.169,16.245,-1.076,6.624,108.923,108.288,0.635,0.586,29.513,33.243,-3.73,11.22
P17,206.608,207.908,-1.3,0.625,34.619,38.485,-3.866,10.045,121.388,124.635,-3.247,2.605,48.007,53.619,-5.612,10.466,217.181,220.605,-3.424,1.552,3.806,6.873,-3.067,44.624,91.011,94.777,-3.766,3.974,17.642,22.288,-4.646,20.845
P18,205.981,204.139,1.842,0.902,15.343,28.525,-13.182,46.212,95.663,106.635,-10.972,10.289,17.71,34.458,-16.748,48.604,210.783,214.156,-3.373,1.575,13.445,11.573,1.872,16.176,96.139,95.716,0.423,0.442,18.329,19.164,-0.835,4.357
P19,210.058,207.535,2.523,1.216,11.779,19.533,-7.754,39.697,99.828,97.254,2.574,2.647,18.329,22.131,-3.802,17.18,216.601,220.069,-3.468,1.576,2.736,5.98,-3.244,54.247,90.728,98.867,-8.139,8.232,16.844,22.713,-5.869,25.84
P20,202.994,204.447,-1.453,0.711,8.691,13.297,-4.606,34.639,94.704,94.204,0.5,0.531,10.488,14.384,-3.896,27.086,207.071,215.578,-8.507,3.946,2.392,9.718,-7.326,75.386,92.074,96.581,-4.507,4.667,7.314,19.64,-12.326,62.76
P21,212.293,209.016,3.277,1.568,12.343,17.439,-5.096,29.222,97.734,94.982,2.752,2.897,19.377,20.415,-1.038,5.084,221.097,230.878,-9.781,4.236,9.41,12.781,-3.371,26.375,91.307,94.696,-3.389,3.579,23.14,33.736,-10.596,31.409
P22,213.455,210.021,3.434,1.635,31.608,36.602,-4.994,13.644,110.588,111.014,-0.426,0.384,41.972,46.057,-4.085,8.869,215.444,220.523,-5.079,2.303,6.214,13.309,-7.095,53.31,93.521,96.249,-2.728,2.834,17.019,25.266,-8.247,32.641
P23,203.574,200.519,3.055,1.524,48.129,52.993,-4.864,9.179,137.206,141.128,-3.922,2.779,67.503,73.641,-6.138,8.335,214.466,218.153,-3.687,1.69,2.026,7.065,-5.039,71.323,90.042,100.956,-10.914,10.811,14.607,22.383,-7.776,34.741
P24,207.63,207.367,0.263,0.127,21.483,25.93,-4.447,17.15,108.037,108.538,-0.501,0.462,29.769,33.257,-3.488,10.488,203.781,207.309,-3.528,1.702,0.957,7.398,-6.441,87.064,91.096,98.7,-7.604,7.704,4.196,13.584,-9.388,69.111
P25,207.314,207.782,-0.468,0.225,25.881,30.094,-4.213,13.999,113.189,112.462,0.727,0.646,37.298,40.235,-2.937,7.3,210.484,221.239,-10.755,4.861,8.267,12.786,-4.519,35.343,91.404,98.513,-7.109,7.216,13.332,26.139,-12.807,48.996
P27,211.089,203.228,7.861,3.868,42.845,42.39,0.455,1.073,130.107,130.013,0.094,0.072,59.713,58.256,1.457,2.501,214.171,222.569,-8.398,3.773,3.585,8.813,-5.228,59.321,90.376,97.366,-6.99,7.179,14.644,25.375,-10.731,42.29