Game ID,Full Name,Short Name,Sensitivity,Specificity,Precision,F1-Score,Accuracy
1,Squat,Sqt,0.742,0.952,0.981,0.845,0.836
2,Static Lunge,StLun,0.585,,1,0.738,0.548
3,VMO Dip,VMODip,1,0.182,0.796,0.887,0.833
4,Marching,HipFlex,0.778,0.468,0.758,0.768,0.736
5,Leg Kickbacks,HipExt,0.676,,0.967,0.796,0.685
6,Side Leg Raise,HipAbd,0.834,0.421,0.793,0.813,0.757
7,Kicking,Kick,0.718,0.8,0.972,0.826,0.737
8,Lateral Step,LatStep,0.783,0.26,0.718,0.749,0.724
9,Backwards Step,BackStep,0.786,0.399,0.77,0.778,0.616
10,Star Jumps,StarJump,0.943,0.519,0.827,0.882,0.825
11,Seated Kicking,SeatKnExt,1,0.222,0.833,0.909,0.857
12,Seated Hip Flexion,SeatHipFlex,0.687,0.333,0.981,0.808,0.682
13,Seated Star Jumps,SeatStarJump,0.983,0.5,0.833,0.902,0.828
14,,Thirty,0.96,0.583,0.934,0.947,0.922