Participants,BC1,BC2,BC3,BC4,BC5,BC6,BC7,BC8,BC9,BC10,BC11,BC12,BC13,BC14,BC15,BC16,BC17,BC18
2023_0221_P01,SeatClfStr,ForStep,Sqt,TdemStnce,Run,VMODip,CalfStr,StarJump,HipAbd,,,,,,,,,
2023_0314_P02,Sqt,Run,HipAbd,CalfStr,SeatClfStr,StarJump,ForStep,VMODip,TdemStnce,,,,,,,,,
2023_0314_P03,SeatStarJump,HipExt,Kick,LatStep,HipFlex,SeatHipFlex,StLun,BackStep,SeatKnExt,,,,,,,,,
2023_0315_P04,Run,TdemStnce,VMODip,ForStep,SeatClfStr,CalfStr,HipAbd,StarJump,Sqt,,,,,,,,,
2023_0316_P05,SeatStarJump,BackStep,SeatKnExt,StLun,HipExt,Kick,HipFlex,LatStep,,,,,,,,,,
2023_0322_P06,HipExt,Kick,BackStep,StLun,SeatHipFlex,SeatStarJump,LatStep,,,,,,,,,,,
2023_0402_P07,HipAbd,StarJump,TdemStnce,StLun,Sqt,HipExt,LatStep,SeatClfStr,VMODip,SeatKnExt,SeatHipFlex,Kick,BackStep,Run,HipFlex,CalfStr,SeatStarJump,ForStep
2023_0403_P08,CalfStr,Run,StarJump,SeatClfStr,VMODip,Sqt,TdemStnce,ForStep,HipAbd,,,,,,,,,
2023_0403_P09,HipFlex,HipExt,Kick,SeatKnExt,SeatHipFlex,SeatStarJump,StLun,BackStep,LatStep,,,,,,,,,
2023_0404_P10,Sqt,StarJump,SeatClfStr,ForStep,TdemStnce,HipAbd,VMODip,Run,CalfStr,,,,,,,,,
2023_0404_P11,HipFlex,StLun,BackStep,LatStep,HipExt,SeatKnExt,SeatHipFlex,Kick,SeatStarJump,,,,,,,,,
2023_0406_P12,SeatHipFlex,HipExt,SeatKnExt,Kick,LatStep,HipFlex,SeatStarJump,BackStep,StLun,,,,,,,,,
2023_0406_P13,VMODip,ForStep,Sqt,Run,SeatClfStr,StarJump,CalfStr,TdemStnce,HipAbd,,,,,,,,,
2023_0407_P14,StLun,SeatKnExt,HipFlex,BackStep,SeatHipFlex,HipExt,SeatStarJump,LatStep,Kick,,,,,,,,,
2023_0407_P15,HipAbd,Sqt,StarJump,Run,SeatClfStr,TdemStnce,VMODip,CalfStr,ForStep,,,,,,,,,
2023_0407_P16,HipFlex,Kick,HipExt,SeatHipFlex,SeatKnExt,BackStep,LatStep,SeatStarJump,StLun,,,,,,,,,
2023_0408_P17,HipFlex,SeatKnExt,HipExt,SeatHipFlex,LatStep,StLun,SeatStarJump,Kick,BackStep,,,,,,,,,
2023_0408_P18,TdemStnce,StarJump,CalfStr,Sqt,ForStep,VMODip,Run,SeatClfStr,HipAbd,,,,,,,,,
2023_0411_P19,SeatHipFlex,StLun,Kick,SeatKnExt,HipExt,LatStep,SeatStarJump,HipFlex,BackStep,,,,,,,,,
2023_0412_P20,Crashed,Crashed,Crashed,Crashed,Crashed,Crashed,Crashed,Crashed,Crashed,,,,,,,,,
2023_0412_P21,TdemStnce,,,,,,,,,,,,,,,,,
2023_0413_P22,SeatClfStr,CalfStr,Run,TdemStnce,HipAbd,ForStep,StarJump,VMODip,,,,,,,,,,
2023_0420_P23,Sqt,SeatCalfStr,CalfStr,Run,VMODip,TdemStnce,ForStep,StarJump,HipAbd,,,,,,,,,
2023_0420_P24,VMODip,HipAbd,Run,ForStep,Sqt,CalfStr,SeatClfStr,StarJump,TdemStnce,,,,,,,,,
2023_0430_P25,TdemStnce,ForStep,CalfStr,SeatedClfStr,VMODip,Run,StarJump,HipAbd,Sqt,,,,,,,,,
2023_0502_P26,HipAbd,CalfStr,VMODip,ForStep,Sqt,TdemStnce,StarJump,SeatClfStr,Run,,,,,,,,,
2023_0516_P27,ForStep,TdemStnce,StarJump,HipAbd,VMODip,Run,Sqt,CalfStr,SeatClfStr,,,,,,,,,